region,zone,district,traditional_authority,facility_name,datim_code,system,hsector,period,reporting_period,sub_groups,new_women_registered,total_women_in_booking_cohort,not_tested_for_syphilis,syphilis_negative,syphilis_positive,hiv_status_not_ascertained,previous_negative,previous_positive,new_negative,new_positive,not_on_cpt,on_cpt,no_ar_vs,already_on_art_when_starting_anc,started_art_at_0_27_weeks_of_pregnancy,started_art_at_28_weeks_of_preg,no_ar_vs_dispensed_for_infant,ar_vs_dispensed_for_infant
Northern Region,Northern Zone,Chitipa,Senior TA Nthengatenga,Mahowe Health Centre,MxwCqnysvVZ,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),40,NA,NA,NA,NA,2,0,2,36,0,NA,NA,0,2,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,Senior TA Nthengatenga,Mahowe Health Centre,MxwCqnysvVZ,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,44,44,0,0,42,2,0,0,0,0,0,0,0,0,0,0,0
Northern Region,Northern Zone,Chitipa,TA Mwenewenya,Wenya Health Centre,oA5bOwzGhY3,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),43,NA,NA,NA,NA,17,1,0,25,0,NA,NA,0,0,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwenewenya,Wenya Health Centre,oA5bOwzGhY3,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,45,36,9,0,38,2,0,5,0,0,0,0,0,0,0,0,0
Northern Region,Northern Zone,Chitipa,TA Mwenewenya,Wenya Health Centre,oA5bOwzGhY3,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),34,NA,NA,NA,NA,3,1,0,30,0,NA,NA,0,0,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwenewenya,Wenya Health Centre,oA5bOwzGhY3,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,42,20,22,0,25,0,0,16,1,0,1,0,0,1,0,0,1
Northern Region,Northern Zone,Chitipa,TA Mwenewenya,Wenya Health Centre,oA5bOwzGhY3,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),48,NA,NA,NA,NA,16,0,0,32,0,NA,NA,0,0,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwenewenya,Wenya Health Centre,oA5bOwzGhY3,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,43,21,22,0,15,8,1,19,0,0,1,0,1,0,0,0,1
Northern Region,Northern Zone,Chitipa,TA Mwenewenya,Chambo Health Centre,SAUJ7oHg7Dl,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),49,NA,NA,NA,NA,4,0,1,44,0,NA,NA,0,1,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwenewenya,Chambo Health Centre,SAUJ7oHg7Dl,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,40,0,39,1,0,0,0,38,2,0,2,0,0,2,0,0,2
Northern Region,Northern Zone,Chitipa,TA Mwenewenya,Chambo Health Centre,SAUJ7oHg7Dl,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),55,NA,NA,NA,NA,0,0,0,55,0,NA,NA,0,0,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwenewenya,Chambo Health Centre,SAUJ7oHg7Dl,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,63,2,61,0,2,0,1,60,0,1,0,1,0,0,0,1,0
Northern Region,Northern Zone,Chitipa,TA Mwenewenya,Chambo Health Centre,SAUJ7oHg7Dl,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),43,NA,NA,NA,NA,0,0,1,40,2,NA,NA,0,1,2,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwenewenya,Chambo Health Centre,SAUJ7oHg7Dl,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,49,0,49,0,0,0,1,48,0,0,1,0,1,0,0,0,1
Northern Region,Northern Zone,Chitipa,TA Mwenemisuku,Misuku Health Centre,rUzPbKMYWiU,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),48,NA,NA,NA,NA,8,0,0,40,0,NA,NA,0,0,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwenemisuku,Misuku Health Centre,rUzPbKMYWiU,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,37,11,26,0,2,0,1,34,0,0,1,0,1,0,0,0,1
Northern Region,Northern Zone,Chitipa,TA Mwenemisuku,Misuku Health Centre,rUzPbKMYWiU,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),49,NA,NA,NA,NA,0,0,0,49,0,NA,NA,0,0,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwenemisuku,Misuku Health Centre,rUzPbKMYWiU,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,22,0,22,0,0,1,0,21,0,0,0,0,0,0,0,0,0
Northern Region,Northern Zone,Chitipa,TA Mwenemisuku,Misuku Health Centre,rUzPbKMYWiU,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),33,NA,NA,NA,NA,2,1,0,29,1,NA,NA,0,0,1,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwenemisuku,Misuku Health Centre,rUzPbKMYWiU,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,21,1,20,0,0,0,0,21,0,0,0,0,0,0,0,0,0
Northern Region,Northern Zone,Chitipa,TA Mwenemisuku,Chisasu Health Post,JV6DtDVMArz,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),18,NA,NA,NA,NA,7,1,0,10,0,NA,NA,0,0,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwenemisuku,Chisasu Health Post,JV6DtDVMArz,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,14,8,6,0,1,0,1,11,1,0,2,0,1,1,0,0,2
Northern Region,Northern Zone,Chitipa,TA Mwenemisuku,Chisasu Health Post,JV6DtDVMArz,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),18,NA,NA,NA,NA,2,0,0,16,0,NA,NA,0,0,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwenemisuku,Chisasu Health Post,JV6DtDVMArz,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,15,6,9,0,0,0,0,15,0,0,0,0,0,0,0,0,0
Northern Region,Northern Zone,Chitipa,TA Mwenemisuku,Chisasu Health Post,JV6DtDVMArz,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),13,NA,NA,NA,NA,1,0,0,12,0,NA,NA,0,0,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwenemisuku,Chisasu Health Post,JV6DtDVMArz,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,24,19,5,0,0,0,0,24,0,0,0,0,0,0,0,0,0
Northern Region,Northern Zone,Chitipa,TA Nthalire,Nthalire Health Centre,FORa2v3yTrM,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),135,NA,NA,NA,NA,1,0,0,133,1,NA,NA,0,0,1,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Nthalire,Nthalire Health Centre,FORa2v3yTrM,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,112,0,111,1,0,0,2,110,0,0,2,0,2,0,0,0,2
Northern Region,Northern Zone,Chitipa,TA Nthalire,Nthalire Health Centre,FORa2v3yTrM,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),80,NA,NA,NA,NA,0,0,0,80,0,NA,NA,0,0,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Nthalire,Nthalire Health Centre,FORa2v3yTrM,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,136,10,126,0,0,0,2,131,3,0,5,0,2,3,0,0,5
Northern Region,Northern Zone,Chitipa,TA Nthalire,Nthalire Health Centre,FORa2v3yTrM,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),99,NA,NA,NA,NA,0,0,1,98,0,NA,NA,0,1,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Nthalire,Nthalire Health Centre,FORa2v3yTrM,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,116,2,114,0,0,0,0,115,1,0,1,0,0,1,0,0,1
Northern Region,Northern Zone,Chitipa,TA Mwabulambya,Chitipa District Hospital Umoyo Clinic,HLtGfGzGlxC,POC,Public,2019 Q1,1st month of quarter,All patients (checked data),236,NA,NA,NA,NA,14,0,5,217,0,NA,NA,0,5,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwabulambya,Chitipa District Hospital Umoyo Clinic,HLtGfGzGlxC,POC,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,225,149,76,0,2,0,5,217,1,0,6,0,5,0,1,0,6
Northern Region,Northern Zone,Chitipa,TA Mwabulambya,Chitipa District Hospital Umoyo Clinic,HLtGfGzGlxC,POC,Public,2019 Q1,2nd month of quarter,All patients (checked data),256,NA,NA,NA,NA,18,0,3,233,2,NA,NA,0,3,1,1,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwabulambya,Chitipa District Hospital Umoyo Clinic,HLtGfGzGlxC,POC,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,207,108,98,1,12,0,4,188,3,0,7,0,4,2,1,0,7
Northern Region,Northern Zone,Chitipa,TA Mwabulambya,Chitipa District Hospital Umoyo Clinic,HLtGfGzGlxC,POC,Public,2019 Q1,3rd month of quarter,All patients (checked data),265,NA,NA,NA,NA,10,0,3,250,2,NA,NA,0,3,2,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwabulambya,Chitipa District Hospital Umoyo Clinic,HLtGfGzGlxC,POC,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,228,165,60,3,4,0,6,218,0,0,6,0,6,0,0,0,6
Northern Region,Northern Zone,Chitipa,TA Mwabulambya,Kaseye Mission Hospital,H9UntjoY2Ln,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),49,NA,NA,NA,NA,0,0,2,46,1,NA,NA,0,2,1,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwabulambya,Kaseye Mission Hospital,H9UntjoY2Ln,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,37,4,33,0,0,0,1,34,2,0,3,0,1,2,0,0,3
Northern Region,Northern Zone,Chitipa,TA Mwabulambya,Kaseye Mission Hospital,H9UntjoY2Ln,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),49,NA,NA,NA,NA,0,1,0,48,0,NA,NA,0,0,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwabulambya,Kaseye Mission Hospital,H9UntjoY2Ln,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,44,27,15,2,0,0,2,42,0,0,2,0,2,0,0,0,2
Northern Region,Northern Zone,Chitipa,TA Mwabulambya,Kaseye Mission Hospital,H9UntjoY2Ln,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),40,NA,NA,NA,NA,2,0,2,36,0,NA,NA,0,2,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwabulambya,Kaseye Mission Hospital,H9UntjoY2Ln,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,26,23,3,0,0,0,1,25,0,0,1,0,1,0,0,0,1
Northern Region,Northern Zone,Chitipa,TA Mwabulambya,Ifumbo Health Centre,CUuvrhzXkgP,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),26,NA,NA,NA,NA,1,0,1,24,0,NA,NA,0,1,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwabulambya,Ifumbo Health Centre,CUuvrhzXkgP,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,24,0,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0
Northern Region,Northern Zone,Chitipa,TA Mwabulambya,Ifumbo Health Centre,CUuvrhzXkgP,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),25,NA,NA,NA,NA,1,0,0,24,0,NA,NA,0,0,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwabulambya,Ifumbo Health Centre,CUuvrhzXkgP,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,23,2,21,0,2,0,0,21,0,0,0,0,0,0,0,0,0
Northern Region,Northern Zone,Chitipa,TA Mwabulambya,Ifumbo Health Centre,CUuvrhzXkgP,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),27,NA,NA,NA,NA,7,0,2,18,0,NA,NA,0,2,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Mwabulambya,Ifumbo Health Centre,CUuvrhzXkgP,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,19,1,18,0,1,0,0,18,0,0,0,0,0,0,0,0,0
Northern Region,Northern Zone,Chitipa,TA Kameme,Kameme Health Centre,POo8K72YgkY,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),37,NA,NA,NA,NA,0,0,0,36,1,NA,NA,1,0,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Kameme,Kameme Health Centre,POo8K72YgkY,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,94,0,93,1,0,0,2,91,1,0,3,0,2,1,0,0,3
Northern Region,Northern Zone,Chitipa,TA Kameme,Kameme Health Centre,POo8K72YgkY,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),99,NA,NA,NA,NA,8,0,2,87,2,NA,NA,0,2,2,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Kameme,Kameme Health Centre,POo8K72YgkY,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,68,3,65,0,0,0,1,67,0,0,1,0,1,0,0,0,1
Northern Region,Northern Zone,Chitipa,TA Kameme,Kameme Health Centre,POo8K72YgkY,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),109,NA,NA,NA,NA,6,0,1,102,0,NA,NA,0,1,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,TA Kameme,Kameme Health Centre,POo8K72YgkY,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,71,0,71,0,0,0,1,69,1,0,2,0,1,1,0,0,2
Northern Region,Northern Zone,Karonga,TA Wasambo,Chilumba Rural Hospital,Vys0f0bNF6b,POC,Public,2019 Q1,1st month of quarter,All patients (checked data),104,NA,NA,NA,NA,1,0,6,96,1,NA,NA,0,6,1,0,NA,NA
Northern Region,Northern Zone,Karonga,TA Wasambo,Chilumba Rural Hospital,Vys0f0bNF6b,POC,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,77,0,77,0,0,0,4,72,1,0,5,0,5,0,0,0,5
Northern Region,Northern Zone,Karonga,TA Wasambo,Chilumba Rural Hospital,Vys0f0bNF6b,POC,Public,2019 Q1,2nd month of quarter,All patients (checked data),65,NA,NA,NA,NA,0,0,5,60,0,NA,NA,0,5,0,0,NA,NA
Northern Region,Northern Zone,Karonga,TA Wasambo,Chilumba Rural Hospital,Vys0f0bNF6b,POC,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,53,0,52,1,0,0,3,50,0,0,3,0,3,0,0,0,3
Northern Region,Northern Zone,Karonga,TA Wasambo,Chilumba Rural Hospital,Vys0f0bNF6b,POC,Public,2019 Q1,3rd month of quarter,All patients (checked data),64,NA,NA,NA,NA,0,0,6,57,1,NA,NA,0,6,1,0,NA,NA
Northern Region,Northern Zone,Karonga,TA Wasambo,Chilumba Rural Hospital,Vys0f0bNF6b,POC,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,71,13,58,0,0,0,3,67,1,0,4,0,3,1,0,0,4
Northern Region,Northern Zone,Karonga,TA Wasambo,Fulirwa Health Centre,Ef4pupo8Zev,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),42,NA,NA,NA,NA,3,0,2,37,0,NA,NA,0,2,0,0,NA,NA
Northern Region,Northern Zone,Karonga,TA Wasambo,Fulirwa Health Centre,Ef4pupo8Zev,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,57,21,36,0,1,0,4,50,2,0,6,0,4,2,0,0,6
Northern Region,Northern Zone,Karonga,TA Wasambo,Fulirwa Health Centre,Ef4pupo8Zev,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),30,NA,NA,NA,NA,0,0,0,30,0,NA,NA,0,0,0,0,NA,NA
Northern Region,Northern Zone,Karonga,TA Wasambo,Fulirwa Health Centre,Ef4pupo8Zev,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,22,6,16,0,0,0,0,22,0,0,0,0,0,0,0,0,0
Northern Region,Northern Zone,Karonga,TA Wasambo,Fulirwa Health Centre,Ef4pupo8Zev,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),32,NA,NA,NA,NA,0,0,2,30,0,NA,NA,0,2,0,0,NA,NA
Northern Region,Northern Zone,Karonga,TA Wasambo,Fulirwa Health Centre,Ef4pupo8Zev,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,33,0,33,0,0,0,0,33,0,0,0,0,0,0,0,0,0
Northern Region,Northern Zone,Karonga,TA Wasambo,Chilumba Barracks Clinic,dodorgunit0003,POC,Public,2019 Q1,1st month of quarter,All patients (checked data),17,NA,NA,NA,NA,0,1,0,16,0,NA,NA,0,0,0,0,NA,NA
Northern Region,Northern Zone,Karonga,TA Wasambo,Chilumba Barracks Clinic,dodorgunit0003,POC,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,14,0,14,0,0,1,0,13,0,0,0,0,0,0,0,0,0
Northern Region,Northern Zone,Karonga,TA Wasambo,Chilumba Barracks Clinic,dodorgunit0003,POC,Public,2019 Q1,2nd month of quarter,All patients (checked data),12,NA,NA,NA,NA,2,0,0,9,1,NA,NA,0,0,1,0,NA,NA
Northern Region,Northern Zone,Karonga,TA Wasambo,Chilumba Barracks Clinic,dodorgunit0003,POC,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,20,4,16,0,0,0,1,19,0,0,1,0,1,0,0,0,1
Northern Region,Northern Zone,Karonga,TA Wasambo,Chilumba Barracks Clinic,dodorgunit0003,POC,Public,2019 Q1,3rd month of quarter,All patients (checked data),8,NA,NA,NA,NA,0,0,0,7,1,NA,NA,0,0,1,0,NA,NA
Northern Region,Northern Zone,Karonga,TA Wasambo,Chilumba Barracks Clinic,dodorgunit0003,POC,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,11,0,11,0,2,0,0,9,0,0,0,0,0,0,0,0,0
Northern Region,Northern Zone,Karonga,TA Wasambo,Sangilo Health Centre,dloaZXdrIi2,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),18,NA,NA,NA,NA,0,0,0,18,0,NA,NA,0,0,0,0,NA,NA
Northern Region,Northern Zone,Karonga,TA Wasambo,Sangilo Health Centre,dloaZXdrIi2,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,31,0,31,0,0,1,0,30,0,0,0,0,0,0,0,0,0
Northern Region,Northern Zone,Karonga,TA Wasambo,Sangilo Health Centre,dloaZXdrIi2,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),17,NA,NA,NA,NA,0,2,0,15,0,NA,NA,0,0,0,0,NA,NA
Northern Region,Northern Zone,Karonga,TA Wasambo,Sangilo Health Centre,dloaZXdrIi2,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,11,3,8,0,3,0,0,7,1,0,1,0,0,1,0,0,1
Northern Region,Northern Zone,Karonga,TA Wasambo,Sangilo Health Centre,dloaZXdrIi2,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),11,NA,NA,NA,NA,0,0,0,10,1,NA,NA,0,0,1,0,NA,NA
Northern Region,Northern Zone,Karonga,TA Wasambo,Sangilo Health Centre,dloaZXdrIi2,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,16,1,15,0,0,0,1,15,0,0,1,0,1,0,0,0,1
Northern Region,Northern Zone,Karonga,TA Wasambo,Lwezga Health Centre,T74pgdeMBqw,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),21,NA,NA,NA,NA,12,0,0,7,2,NA,NA,0,0,2,0,NA,NA
Northern Region,Northern Zone,Karonga,TA Wasambo,Lwezga Health Centre,T74pgdeMBqw,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,19,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
Northern Region,Northern Zone,Karonga,TA Wasambo,Lwezga Health Centre,T74pgdeMBqw,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),22,NA,NA,NA,NA,3,0,1,17,1,NA,NA,0,1,1,0,NA,NA
Northern Region,Northern Zone,Karonga,TA Wasambo,Lwezga Health Centre,T74pgdeMBqw,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,20,11,9,0,7,0,0,13,0,0,0,0,0,0,0,0,0
Northern Region,Northern Zone,Karonga,TA Wasambo,Lwezga Health Centre,T74pgdeMBqw,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),13,NA,NA,NA,NA,0,0,0,13,0,NA,NA,0,0,0,0,NA,NA
Northern Region,Northern Zone,Karonga,TA Wasambo,Lwezga Health Centre,T74pgdeMBqw,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,15,4,11,0,2,0,0,13,0,0,0,0,0,0,0,0,0
Northern Region,Northern Zone,Karonga,TA Wasambo,St Anne's Health Centre,QViP0w8nclT,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),60,NA,NA,NA,NA,0,0,2,57,1,NA,NA,0,2,1,0,NA,NA
Northern Region,Northern Zone,Karonga,TA Wasambo,St Anne's Health Centre,QViP0w8nclT,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,48,19,29,0,1,1,2,39,5,0,7,0,2,5,0,0,7
Northern Region,Northern Zone,Karonga,TA Wasambo,St Anne's Health Centre,QViP0w8nclT,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),66,NA,NA,NA,NA,0,0,1,64,1,NA,NA,0,1,1,0,NA,NA
Northern Region,Northern Zone,Karonga,TA Wasambo,St Anne's Health Centre,QViP0w8nclT,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,38,2,36,0,0,0,0,35,3,0,3,0,0,3,0,0,3
Northern Region,Northern Zone,Karonga,TA Wasambo,St Anne's Health Centre,QViP0w8nclT,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),46,NA,NA,NA,NA,0,0,1,45,0,NA,NA,0,1,0,0,NA,NA
Northern Region,Northern Zone,Karonga,TA Wasambo,St Anne's Health Centre,QViP0w8nclT,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,52,1,51,0,0,0,0,49,3,0,3,0,0,3,0,0,3
Northern Region,Northern Zone,Karonga,TA Mwakaboko,Iponga Health Centre,WCfFWutWnQy,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),89,NA,NA,NA,NA,0,0,3,85,1,NA,NA,0,3,1,0,NA,NA
Northern Region,Northern Zone,Karonga,TA Mwakaboko,Iponga Health Centre,WCfFWutWnQy,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,61,2,58,1,0,0,2,58,1,0,3,0,2,1,0,0,3
Northern Region,Northern Zone,Karonga,TA Mwakaboko,Iponga Health Centre,WCfFWutWnQy,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),78,NA,NA,NA,NA,1,2,5,70,0,NA,NA,0,5,0,0,NA,NA
Northern Region,Northern Zone,Karonga,TA Mwakaboko,Iponga Health Centre,WCfFWutWnQy,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,39,0,39,0,0,0,5,34,0,0,5,0,5,0,0,0,5
Northern Region,Northern Zone,Karonga,TA Mwakaboko,Iponga Health Centre,WCfFWutWnQy,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),63,NA,NA,NA,NA,1,1,3,58,0,NA,NA,0,3,0,0,NA,NA
