area_level,area_name,sex,age_group,indicator,indicator_label,mean,lower,upper
Country,Malawi,male,65-69,population,Population,81136.1445199999,81136.1445199999,81136.1445199999
Country,Malawi,female,0-4,prevalence,HIV prevalence,0.00318290119493098,0.00309401578605427,0.00326967222657582
Country,Malawi,female,5-9,prevalence,HIV prevalence,0.00620883657749856,0.00603447371268451,0.00639004457761624
Country,Malawi,female,10-14,prevalence,HIV prevalence,0.0104631122087863,0.0101698063880491,0.0107680087299169
Country,Malawi,female,15-19,prevalence,HIV prevalence,0.0166056903607127,0.0140117610758512,0.0199093595262766
Country,Malawi,female,20-24,prevalence,HIV prevalence,0.0322194558026703,0.0279885036773295,0.0366965693463828
Country,Malawi,female,25-29,prevalence,HIV prevalence,0.0649124233265032,0.058304603110761,0.0718062663624223
Country,Malawi,female,30-34,prevalence,HIV prevalence,0.11711241893501,0.107742845591617,0.125776754286988
Country,Malawi,female,35-39,prevalence,HIV prevalence,0.174033566119787,0.163605609545136,0.183907226032407
Country,Malawi,female,40-44,prevalence,HIV prevalence,0.205478996451174,0.192725539159145,0.218779125462521
Country,Malawi,female,45-49,prevalence,HIV prevalence,0.217404497776445,0.20135531252527,0.232968365501111
Country,Malawi,female,50-54,prevalence,HIV prevalence,0.19184636472265101,0.174721677276586,0.212776542024396
Country,Malawi,female,55-59,prevalence,HIV prevalence,0.138303906669159,0.120818725174601,0.156736241102668
Country,Malawi,female,60-64,prevalence,HIV prevalence,0.107405477962895,0.092202085309472,0.125649623834723
Country,Malawi,female,65-69,prevalence,HIV prevalence,0.11189879016436,0.0909994986172549,0.13438382716954
Country,Malawi,male,0-4,prevalence,HIV prevalence,0.00319399899236442,0.00310478723846105,0.00328160016453036
Country,Malawi,male,5-9,prevalence,HIV prevalence,0.00625001322939036,0.00607255759922448,0.0064332249918826
Country,Malawi,male,10-14,prevalence,HIV prevalence,0.0104971732354769,0.0102006343325301,0.0108027966244606
Country,Malawi,male,15-19,prevalence,HIV prevalence,0.0125843460779484,0.0104078564424734,0.0149856682612669
Country,Malawi,male,20-24,prevalence,HIV prevalence,0.0152223800108204,0.0122155777923506,0.0186597974815724
Country,Malawi,male,25-29,prevalence,HIV prevalence,0.0270795005328883,0.0224992855893846,0.0322507668878084
Country,Malawi,male,30-34,prevalence,HIV prevalence,0.0541664931887007,0.0470750608170591,0.0615722377197818
Country,Malawi,male,35-39,prevalence,HIV prevalence,0.090358730246509,0.0806647094905606,0.100508504886837
Country,Malawi,male,40-44,prevalence,HIV prevalence,0.133452065393413,0.121917594635522,0.146235874688918
Country,Malawi,male,45-49,prevalence,HIV prevalence,0.174982077680395,0.160460611101966,0.19127386775713
Country,Malawi,male,50-54,prevalence,HIV prevalence,0.191660279067104,0.173737447345859,0.210635641738779
Country,Malawi,male,55-59,prevalence,HIV prevalence,0.170788643899202,0.150098880878291,0.194127099590048
Country,Malawi,male,60-64,prevalence,HIV prevalence,0.139005295352957,0.118231571904442,0.163353707773488
Country,Malawi,male,65-69,prevalence,HIV prevalence,0.120113371911649,0.0976689776308264,0.143995313559964
Country,Malawi,female,0-4,plhiv,PLHIV,4950.54854951266,4812.31743425857,5085.49050076157
Country,Malawi,female,5-9,plhiv,PLHIV,8931.42170104858,8680.66213547249,9192.02180514406
Country,Malawi,female,10-14,plhiv,PLHIV,14406.4466704037,14002.7670321505,14826.0684833127
Country,Malawi,female,15-19,plhiv,PLHIV,20663.0126550393,17438.5357761127,24768.0251366517
Country,Malawi,female,20-24,plhiv,PLHIV,32930.8523266823,28615.0843467441,37494.8916083063
Country,Malawi,female,25-29,plhiv,PLHIV,54514.9045059443,48988.2026019337,60275.3774924721
Country,Malawi,female,30-34,plhiv,PLHIV,84988.7477744552,78239.5802286535,91222.1861434592
Country,Malawi,female,35-39,plhiv,PLHIV,113472.412686599,106748.064747477,119830.645289321
Country,Malawi,female,40-44,plhiv,PLHIV,107554.397656476,100964.094602971,114415.34378947
Country,Malawi,female,45-49,plhiv,PLHIV,71738.3412910764,66512.5111237648,76795.6473053559
Country,Malawi,female,50-54,plhiv,PLHIV,43738.474907502,39879.7972965171,48442.6891672995
Country,Malawi,female,55-59,plhiv,PLHIV,26252.2349205075,22960.4805233252,29713.8646407529
Country,Malawi,female,60-64,plhiv,PLHIV,15586.0771274142,13393.8390666721,18210.7349001255
Country,Malawi,female,65-69,plhiv,PLHIV,11124.8444019221,9060.04431974432,13339.7144864555
Country,Malawi,male,0-4,plhiv,PLHIV,5009.72573573745,4869.8173682459,5147.10723475855
Country,Malawi,male,5-9,plhiv,PLHIV,9027.40016327967,8771.15301412459,9291.95513742821
Country,Malawi,male,10-14,plhiv,PLHIV,14332.4217619872,13927.7152649849,14749.5157687
Country,Malawi,male,15-19,plhiv,PLHIV,15311.5193795413,12662.1429511182,18235.1684605836
Country,Malawi,male,20-24,plhiv,PLHIV,14979.0633469386,12018.7291783381,18364.3194833721
Country,Malawi,male,25-29,plhiv,PLHIV,21288.4270610296,17684.1542187507,25359.5547087034
Country,Malawi,male,30-34,plhiv,PLHIV,34354.174511642,29847.3290787148,39063.7508949638
Country,Malawi,male,35-39,plhiv,PLHIV,48740.7634123923,43493.4791803781,54239.4495194507
Country,Malawi,male,40-44,plhiv,PLHIV,63329.0166270156,57826.9336438689,69433.3795562472
Country,Malawi,male,45-49,plhiv,PLHIV,60389.2917536146,55343.8953816623,66057.1149832715
Country,Malawi,male,50-54,plhiv,PLHIV,42228.2622233392,38250.5193337604,46446.1404515801
Country,Malawi,male,55-59,plhiv,PLHIV,25106.8856691216,22046.1400344746,28565.8829147505
Country,Malawi,male,60-64,plhiv,PLHIV,15500.6072715381,13172.4364479818,18234.662111558
Country,Malawi,male,65-69,plhiv,PLHIV,9745.53590220806,7916.89642002274,11695.1515976797
Country,Malawi,female,0-4,art_coverage,ART coverage,0.672978492801095,0.650052790690676,0.694308330547109
Country,Malawi,female,5-9,art_coverage,ART coverage,0.706757306101647,0.685366985071136,0.726420385800544
Country,Malawi,female,10-14,art_coverage,ART coverage,0.71600877746383,0.695259142359857,0.735176284643777
Country,Malawi,female,15-19,art_coverage,ART coverage,0.975952728052739,0.96273000887321,0.986270837604111
Country,Malawi,female,20-24,art_coverage,ART coverage,0.959901731840432,0.943591498970101,0.972265482494231
Country,Malawi,female,25-29,art_coverage,ART coverage,0.967606442420184,0.956243391677571,0.977101920828659
Country,Malawi,female,30-34,art_coverage,ART coverage,0.980826027694379,0.973499350008731,0.986321879948826
Country,Malawi,female,35-39,art_coverage,ART coverage,0.989812595902053,0.985445457633953,0.993089411380645
Country,Malawi,female,40-44,art_coverage,ART coverage,0.992725153887003,0.988666046729706,0.995362464970009
Country,Malawi,female,45-49,art_coverage,ART coverage,0.994159483334704,0.990652104745754,0.996439966354322
Country,Malawi,female,50-54,art_coverage,ART coverage,0.993574529403448,0.989146651432862,0.996525107277492
Country,Malawi,female,55-59,art_coverage,ART coverage,0.99033275293965,0.983532743467452,0.994666367970342
Country,Malawi,female,60-64,art_coverage,ART coverage,0.990766327577004,0.983069511223354,0.995492159583205
Country,Malawi,female,65-69,art_coverage,ART coverage,0.990862055282369,0.982269861976923,0.995629657865393
Country,Malawi,male,0-4,art_coverage,ART coverage,0.672518328660309,0.650200326742162,0.693546970475158
Country,Malawi,male,5-9,art_coverage,ART coverage,0.7062195833372,0.684891883025146,0.726007300571693
Country,Malawi,male,10-14,art_coverage,ART coverage,0.716029608258792,0.695319147860775,0.7352216269053
Country,Malawi,male,15-19,art_coverage,ART coverage,0.824319235610964,0.792586038134087,0.852313669600909
Country,Malawi,male,20-24,art_coverage,ART coverage,0.708436880283664,0.608117157978199,0.795079902706704
Country,Malawi,male,25-29,art_coverage,ART coverage,0.719527256571929,0.629984086629307,0.798816634694711
Country,Malawi,male,30-34,art_coverage,ART coverage,0.767006215237335,0.691458320389298,0.834979086702738
Country,Malawi,male,35-39,art_coverage,ART coverage,0.855932954105583,0.797854838542067,0.900771167143775
Country,Malawi,male,40-44,art_coverage,ART coverage,0.89561832394134,0.850732988683047,0.929083350809426
Country,Malawi,male,45-49,art_coverage,ART coverage,0.917866737701435,0.87900570436108,0.945564177085218
Country,Malawi,male,50-54,art_coverage,ART coverage,0.91953009221385,0.878932332346847,0.950438890214303
Country,Malawi,male,55-59,art_coverage,ART coverage,0.89251250048453,0.837175359113323,0.935070563474539
Country,Malawi,male,60-64,art_coverage,ART coverage,0.891363505365247,0.821928334139787,0.938323427985139
Country,Malawi,male,65-69,art_coverage,ART coverage,0.894463342549433,0.81964617106356,0.943803121168091
Country,Malawi,female,0-4,aware_plhiv_prop,Proportion PLHIV aware,0.685573121560399,0.663784752027919,0.705874426355549
Country,Malawi,female,5-9,aware_plhiv_prop,Proportion PLHIV aware,0.725481045886016,0.705779932392013,0.743629565977851
Country,Malawi,female,10-14,aware_plhiv_prop,Proportion PLHIV aware,0.740518271132769,0.721949766951562,0.757717341334372
Country,Malawi,female,15-19,aware_plhiv_prop,Proportion PLHIV aware,0.975952728052739,0.96273000887321,0.986270837604111
Country,Malawi,female,20-24,aware_plhiv_prop,Proportion PLHIV aware,0.959901731840432,0.943591498970101,0.972265482494231
Country,Malawi,female,25-29,aware_plhiv_prop,Proportion PLHIV aware,0.967606442420184,0.956243391677571,0.977101920828659
Country,Malawi,female,30-34,aware_plhiv_prop,Proportion PLHIV aware,0.980826027694379,0.973499350008731,0.986321879948826
Country,Malawi,female,35-39,aware_plhiv_prop,Proportion PLHIV aware,0.989812595902053,0.985445457633953,0.993089411380644
Country,Malawi,female,40-44,aware_plhiv_prop,Proportion PLHIV aware,0.992725153887003,0.988666046729706,0.995362464970009
Country,Malawi,female,45-49,aware_plhiv_prop,Proportion PLHIV aware,0.994159483334704,0.990652104745754,0.996439966354322
Country,Malawi,female,50-54,aware_plhiv_prop,Proportion PLHIV aware,0.993574529403448,0.989146651432863,0.996525107277492
Country,Malawi,female,55-59,aware_plhiv_prop,Proportion PLHIV aware,0.99033275293965,0.983532743467452,0.994666367970342
Country,Malawi,female,60-64,aware_plhiv_prop,Proportion PLHIV aware,0.990766327577004,0.983069511223354,0.995492159583205
Country,Malawi,female,65-69,aware_plhiv_prop,Proportion PLHIV aware,0.990862055282369,0.982269861976923,0.995629657865393
Country,Malawi,male,0-4,aware_plhiv_prop,Proportion PLHIV aware,0.685142135232752,0.663629679820293,0.705405359436728
Country,Malawi,male,5-9,aware_plhiv_prop,Proportion PLHIV aware,0.724982661902923,0.704944438573005,0.743565184155247
Country,Malawi,male,10-14,aware_plhiv_prop,Proportion PLHIV aware,0.740550677989691,0.721539634564124,0.758157037852961
Country,Malawi,male,15-19,aware_plhiv_prop,Proportion PLHIV aware,0.842139911760894,0.813410167826854,0.867429718170711
Country,Malawi,male,20-24,aware_plhiv_prop,Proportion PLHIV aware,0.77332397159771,0.692600319913564,0.841897345536388
Country,Malawi,male,25-29,aware_plhiv_prop,Proportion PLHIV aware,0.794814889302784,0.726752064581999,0.8540295172234
Country,Malawi,male,30-34,aware_plhiv_prop,Proportion PLHIV aware,0.855352810412116,0.806447402655099,0.898497177478595
Country,Malawi,male,35-39,aware_plhiv_prop,Proportion PLHIV aware,0.897275300713477,0.855043058493535,0.929554340591085
Country,Malawi,male,40-44,aware_plhiv_prop,Proportion PLHIV aware,0.926206097797755,0.894016340546704,0.95002545266028
Country,Malawi,male,45-49,aware_plhiv_prop,Proportion PLHIV aware,0.943116217499209,0.915879385544191,0.962401618815351
Country,Malawi,male,50-54,aware_plhiv_prop,Proportion PLHIV aware,0.941277550188101,0.9113391877534,0.963929823805811
Country,Malawi,male,55-59,aware_plhiv_prop,Proportion PLHIV aware,0.921540370239291,0.880560745538211,0.952783663608824
Country,Malawi,male,60-64,aware_plhiv_prop,Proportion PLHIV aware,0.920707085141332,0.869220213386927,0.955169778764736
Country,Malawi,male,65-69,aware_plhiv_prop,Proportion PLHIV aware,0.922986449207509,0.86751556126194,0.959169007337928
Country,Malawi,female,0-4,incidence,HIV incidence,8.947676759936e-4,8.7322409577536e-4,9.1636138870026e-4
Country,Malawi,female,5-9,incidence,HIV incidence,0,0,0
Country,Malawi,female,10-14,incidence,HIV incidence,0,0,0
Country,Malawi,female,15-19,incidence,HIV incidence,7.7237386218e-4,7.2689335685399e-4,8.2398148122078e-4
Country,Malawi,female,20-24,incidence,HIV incidence,0.00238567879368099,0.0022451974967035,0.00254680504806064
Country,Malawi,female,25-29,incidence,HIV incidence,0.00250627506392128,0.00235905454517971,0.00267256697497249
Country,Malawi,female,30-34,incidence,HIV incidence,0.00200737146751749,0.00189052690224661,0.00214036261845426
Country,Malawi,female,35-39,incidence,HIV incidence,0.00146420671064002,0.00137897727676852,0.00156109600700426
Country,Malawi,female,40-44,incidence,HIV incidence,0.00103609350272494,9.7528079495518e-4,0.00110405257829767
Country,Malawi,female,45-49,incidence,HIV incidence,7.2256412058856e-4,6.7946900824994e-4,7.705808371558e-4
Country,Malawi,female,50-54,incidence,HIV incidence,5.2360769809997e-4,4.9193661004748e-4,5.5975754988077e-4
Country,Malawi,female,55-59,incidence,HIV incidence,3.8012008076752e-4,3.5728465913185e-4,4.0650267175402e-4
Country,Malawi,female,60-64,incidence,HIV incidence,2.8306568142126e-4,2.6629626051715e-4,3.0227765506938e-4
Country,Malawi,female,65-69,incidence,HIV incidence,2.0713811814438e-4,1.9499926542627e-4,2.2065178793728e-4
Country,Malawi,male,0-4,incidence,HIV incidence,8.9873424162203e-4,8.770872851165e-4,9.204033349528e-4
Country,Malawi,male,5-9,incidence,HIV incidence,0,0,0
Country,Malawi,male,10-14,incidence,HIV incidence,0,0,0
Country,Malawi,male,15-19,incidence,HIV incidence,4.44887341367821e-5,4.18680380564619e-5,4.74731866203828e-5
Country,Malawi,male,20-24,incidence,HIV incidence,5.315848799531e-4,5.0090666370407e-4,5.6797093683281e-4
Country,Malawi,male,25-29,incidence,HIV incidence,0.0012403140710324,0.00116830021880757,0.00132586052851932
Country,Malawi,male,30-34,incidence,HIV incidence,0.00163158974818376,0.00153702054163795,0.00174133083296623
Country,Malawi,male,35-39,incidence,HIV incidence,0.00167905814883791,0.00158336764474368,0.00179314071759269
Country,Malawi,male,40-44,incidence,HIV incidence,0.00151706037143833,0.00142816427911176,0.00161799650016829
Country,Malawi,male,45-49,incidence,HIV incidence,0.00125933647585474,0.00118584061359505,0.0013449784531768
Country,Malawi,male,50-54,incidence,HIV incidence,0.00103573538658157,9.7206064755736e-4,0.00110722220599835
Country,Malawi,male,55-59,incidence,HIV incidence,8.3297823450907e-4,7.8203684144944e-4,8.9167176856339e-4
Country,Malawi,male,60-64,incidence,HIV incidence,6.8242360030423e-4,6.41893534054e-4,7.2885769657587e-4
Country,Malawi,male,65-69,incidence,HIV incidence,5.3903916799434e-4,5.0760404649417e-4,5.7570154303273e-4
Region,Northern,female,0-4,population,Population,184087.625401593,184087.625401593,184087.625401593
Region,Northern,female,5-9,population,Population,178635.512052163,178635.512052163,178635.512052163
Region,Northern,female,10-14,population,Population,184119.969236856,184119.969236856,184119.969236856
Region,Northern,female,15-19,population,Population,166216.553774361,166216.553774361,166216.553774361
Region,Northern,female,20-24,population,Population,134170.064597796,134170.064597796,134170.064597796
Region,Northern,female,25-29,population,Population,107387.061590456,107387.061590456,107387.061590456
Region,Northern,female,30-34,population,Population,91837.0694885466,91837.0694885466,91837.0694885466
Region,Northern,female,35-39,population,Population,81758.603995879,81758.603995879,81758.603995879
Region,Northern,female,40-44,population,Population,66742.8717029333,66742.8717029333,66742.8717029333
Region,Northern,female,45-49,population,Population,43485.2312841109,43485.2312841109,43485.2312841109
Region,Northern,female,50-54,population,Population,30689.2115890278,30689.2115890278,30689.2115890278
Region,Northern,female,55-59,population,Population,26445.1000567957,26445.1000567957,26445.1000567957
Region,Northern,female,60-64,population,Population,20250.4835686547,20250.4835686547,20250.4835686547
Region,Northern,female,65-69,population,Population,13504.8173705738,13504.8173705738,13504.8173705738
Region,Northern,male,0-4,population,Population,188132.575882294,188132.575882294,188132.575882294
Region,Northern,male,5-9,population,Population,176288.31930507,176288.31930507,176288.31930507
Region,Northern,male,10-14,population,Population,177746.023449004,177746.023449004,177746.023449004
Region,Northern,male,15-19,population,Population,158680.366467208,158680.366467208,158680.366467208
Region,Northern,male,20-24,population,Population,126208.551760867,126208.551760867,126208.551760867
Region,Northern,male,25-29,population,Population,99821.165812176,99821.165812176,99821.165812176
Region,Northern,male,30-34,population,Population,80870.730320998,80870.730320998,80870.730320998
Region,Northern,male,35-39,population,Population,68412.6339335652,68412.6339335652,68412.6339335652
Region,Northern,male,40-44,population,Population,60957.0345752466,60957.0345752466,60957.0345752466
Region,Northern,male,45-49,population,Population,45219.8332483026,45219.8332483026,45219.8332483026
Region,Northern,male,50-54,population,Population,29591.499623001,29591.499623001,29591.499623001
Region,Northern,male,55-59,population,Population,20591.0431880167,20591.0431880167,20591.0431880167
Region,Northern,male,60-64,population,Population,15840.6271893109,15840.6271893109,15840.6271893109
Region,Northern,male,65-69,population,Population,11604.9321455709,11604.9321455709,11604.9321455709
Region,Northern,female,0-4,prevalence,HIV prevalence,0.00240835909254186,0.00228331817493824,0.0025440058099082
Region,Northern,female,5-9,prevalence,HIV prevalence,0.00467041796074223,0.00435736717144414,0.00498569695338944
Region,Northern,female,10-14,prevalence,HIV prevalence,0.0077479917856419,0.00722862538394262,0.00826360159280372
Region,Northern,female,15-19,prevalence,HIV prevalence,0.0118141095850783,0.00997085007728189,0.0142738717300416
Region,Northern,female,20-24,prevalence,HIV prevalence,0.0229696220819763,0.0199074334368129,0.026379328141781
Region,Northern,female,25-29,prevalence,HIV prevalence,0.0473217295067776,0.0422007284163761,0.0525650737386876
Region,Northern,female,30-34,prevalence,HIV prevalence,0.0866100395759619,0.0789058738236752,0.0940351285883169
Region,Northern,female,35-39,prevalence,HIV prevalence,0.131703929763534,0.122679137538473,0.140205039019901
Region,Northern,female,40-44,prevalence,HIV prevalence,0.155596239262119,0.144664408172669,0.167382403771199
Region,Northern,female,45-49,prevalence,HIV prevalence,0.163688998495065,0.149883231595048,0.177524447041972
Region,Northern,female,50-54,prevalence,HIV prevalence,0.143414542047135,0.129043051813837,0.160250678444944
Region,Northern,female,55-59,prevalence,HIV prevalence,0.100134086962853,0.0865236161781253,0.1153879894945
Region,Northern,female,60-64,prevalence,HIV prevalence,0.0764585482070103,0.0644111982774454,0.0907760039559221
Region,Northern,female,65-69,prevalence,HIV prevalence,0.07936588841401,0.0632379119151846,0.0974353269831281
Region,Northern,male,0-4,prevalence,HIV prevalence,0.00238895008683865,0.00226511169985639,0.00252294843592046
Region,Northern,male,5-9,prevalence,HIV prevalence,0.00468603829864693,0.00437289766356748,0.00500293172146968
Region,Northern,male,10-14,prevalence,HIV prevalence,0.00776702348216013,0.00724721299537714,0.00828369728206696
Region,Northern,male,15-19,prevalence,HIV prevalence,0.00967538881400752,0.00795763393971026,0.0116081805890264
Region,Northern,male,20-24,prevalence,HIV prevalence,0.0119627931374562,0.00953003070717127,0.0147589936208483
Region,Northern,male,25-29,prevalence,HIV prevalence,0.0215818999288532,0.0178022357327874,0.0258221833488389
Region,Northern,male,30-34,prevalence,HIV prevalence,0.0435747904850623,0.0373978507915224,0.0502548179131037
Region,Northern,male,35-39,prevalence,HIV prevalence,0.0738150012425753,0.0650562031367497,0.0826830376380678
Region,Northern,male,40-44,prevalence,HIV prevalence,0.110013442706136,0.099625107841326,0.121926493597797
Region,Northern,male,45-49,prevalence,HIV prevalence,0.146022930516771,0.132857385887909,0.160642669297456
Region,Northern,male,50-54,prevalence,HIV prevalence,0.160101539741403,0.143623376063969,0.17801859752644
Region,Northern,male,55-59,prevalence,HIV prevalence,0.14006303665967,0.121285122053294,0.160936468865444
Region,Northern,male,60-64,prevalence,HIV prevalence,0.113551278524588,0.0956526136502524,0.134341194937651
Region,Northern,male,65-69,prevalence,HIV prevalence,0.0973232745076577,0.078459940170415493,0.11769095710277
Region,Northern,female,0-4,plhiv,PLHIV,443.349106460366,420.33276660824,468.317395074431
Region,Northern,female,5-9,plhiv,PLHIV,834.302503914807,778.390461640465,890.611067555983
Region,Northern,female,10-14,plhiv,PLHIV,1426.5600092198,1330.96248653909,1521.46206431797
Region,Northern,female,15-19,plhiv,PLHIV,1963.70058114437,1657.53981847491,2372.13460995558
Region,Northern,female,20-24,plhiv,PLHIV,3081.83567852572,2671.5678225575,3538.45164645681
Region,Northern,female,25-29,plhiv,PLHIV,5081.74148111121,4533.46601579766,5642.70119428301
Region,Northern,female,30-34,plhiv,PLHIV,7954.01222294339,7250.4280198967,8631.3857479146
Region,Northern,female,35-39,plhiv,PLHIV,10767.9294382379,10036.4144374676,11456.1519805818
Region,Northern,female,40-44,plhiv,PLHIV,10384.9398345305,9662.65616561298,11162.4426882044
Region,Northern,female,45-49,plhiv,PLHIV,7118.05395822238,6523.96252943129,7712.28077593666
Region,Northern,female,50-54,plhiv,PLHIV,4401.27922582804,3964.2153805218,4912.18096098897
Region,Northern,female,55-59,plhiv,PLHIV,2648.05594882851,2290.32517111209,3048.16620029467
Region,Northern,female,60-64,plhiv,PLHIV,1548.32257414926,1305.47295286457,1836.39390346025
Region,Northern,female,65-69,plhiv,PLHIV,1071.82182848454,854.992933835244,1314.16472023119
Region,Northern,male,0-4,plhiv,PLHIV,449.439333491185,426.143552877028,474.646071406395
Region,Northern,male,5-9,plhiv,PLHIV,826.093815867659,770.901087926496,881.946490243778
Region,Northern,male,10-14,plhiv,PLHIV,1380.557537989,1288.19187362017,1472.36177948212
Region,Northern,male,15-19,plhiv,PLHIV,1535.29424271944,1262.62430480136,1842.14788846566
Region,Northern,male,20-24,plhiv,PLHIV,1509.80679689319,1202.64196355666,1862.94161969314
Region,Northern,male,25-29,plhiv,PLHIV,2154.33041133985,1776.74314371606,2578.08356054798
Region,Northern,male,30-34,plhiv,PLHIV,3523.92513011146,3023.56769743093,4065.34169355417
Region,Northern,male,35-39,plhiv,PLHIV,5049.87865881396,4448.95163120435,5658.77241670294
Region,Northern,male,40-44,plhiv,PLHIV,6706.09323077982,6070.08492348221,7436.16362108631
Region,Northern,male,45-49,plhiv,PLHIV,6603.13256839686,6004.33453103776,7268.8784158979
Region,Northern,male,50-54,plhiv,PLHIV,4737.64465289961,4246.9750954558,5271.96204742886
Region,Northern,male,55-59,plhiv,PLHIV,2884.04403690403,2495.33480536674,3316.88231514006
Region,Northern,male,60-64,plhiv,PLHIV,1798.72346997761,1514.00521298505,2129.99694856769
Region,Northern,male,65-69,plhiv,PLHIV,1129.42999684614,909.769056799292,1367.01762659714
Region,Northern,female,0-4,art_coverage,ART coverage,0.636077290423421,0.588149058166482,0.682752359358949
Region,Northern,female,5-9,art_coverage,ART coverage,0.670830711794083,0.625086371571327,0.71557273833313
Region,Northern,female,10-14,art_coverage,ART coverage,0.684019442391179,0.638870629598776,0.7282335279581
Region,Northern,female,15-19,art_coverage,ART coverage,0.972499364662627,0.954199530564668,0.98490248918571
Region,Northern,female,20-24,art_coverage,ART coverage,0.95470758119193,0.932526145339852,0.971220036097037
Region,Northern,female,25-29,art_coverage,ART coverage,0.96353981737333,0.945856717826619,0.975447495701996
Region,Northern,female,30-34,art_coverage,ART coverage,0.978377249895316,0.968095180126523,0.985821792914047
Region,Northern,female,35-39,art_coverage,ART coverage,0.988472412185233,0.982592848896695,0.992787324964234
Region,Northern,female,40-44,art_coverage,ART coverage,0.991729783237964,0.986770473978735,0.995178264645904
Region,Northern,female,45-49,art_coverage,ART coverage,0.993313322057818,0.988930810179359,0.996165155244726
Region,Northern,female,50-54,art_coverage,ART coverage,0.992594997230476,0.986946420026858,0.996170732725268
Region,Northern,female,55-59,art_coverage,ART coverage,0.988819345769199,0.979965735767186,0.994025560452498
Region,Northern,female,60-64,art_coverage,ART coverage,0.989261979781362,0.979778228894239,0.994810633451328
Region,Northern,female,65-69,art_coverage,ART coverage,0.989282280877274,0.978045733194959,0.995231417046325
Region,Northern,male,0-4,art_coverage,ART coverage,0.635283060288952,0.588067522654,0.681976327471812
Region,Northern,male,5-9,art_coverage,ART coverage,0.669796508437024,0.623906452655446,0.715315367281894
Region,Northern,male,10-14,art_coverage,ART coverage,0.683092439212711,0.637808996237489,0.727723896063128
Region,Northern,male,15-19,art_coverage,ART coverage,0.809605394607558,0.764515290667731,0.84765238652496
Region,Northern,male,20-24,art_coverage,ART coverage,0.690861600946119,0.579452980724773,0.791415610768527
Region,Northern,male,25-29,art_coverage,ART coverage,0.704060602453322,0.596265319491691,0.795890716814955
Region,Northern,male,30-34,art_coverage,ART coverage,0.753710846298243,0.667347735397002,0.829818838295418
Region,Northern,male,35-39,art_coverage,ART coverage,0.846632515840232,0.777541574772334,0.900659018382902
Region,Northern,male,40-44,art_coverage,ART coverage,0.888532554561852,0.832199897416546,0.92668586440684
Region,Northern,male,45-49,art_coverage,ART coverage,0.911791205706704,0.865966287320359,0.94515278739034
Region,Northern,male,50-54,art_coverage,ART coverage,0.91297597508386,0.862908224838482,0.948755892640162
Region,Northern,male,55-59,art_coverage,ART coverage,0.883401239836096,0.820201899925897,0.930471283282708
Region,Northern,male,60-64,art_coverage,ART coverage,0.881982777352886,0.806580073404373,0.934583914783657
Region,Northern,male,65-69,art_coverage,ART coverage,0.884395732898049,0.79922039299852,0.940097551259613
Region,Northern,female,0-4,aware_plhiv_prop,Proportion PLHIV aware,0.650093100770136,0.604683717240302,0.694464025055389
Region,Northern,female,5-9,aware_plhiv_prop,Proportion PLHIV aware,0.691848388365797,0.649902195062524,0.73307936368294
Region,Northern,female,10-14,aware_plhiv_prop,Proportion PLHIV aware,0.711289734082095,0.671099362528553,0.750900355866926
